shard1,shard2,shard3,shard4,shard5,total
402,382,442,391,383,2000
775,809,844,784,788,4000
1182,1185,1242,1195,1196,6000
1572,1573,1659,1623,1573,8000
1986,1963,2070,2020,1961,10000
2379,2351,2487,2427,2356,12000
2780,2722,2892,2849,2757,14000
3210,3111,3264,3271,3144,16000
3619,3526,3617,3673,3565,18000
4021,3930,4018,4075,3956,20000
4430,4309,4410,4480,4371,22000
4832,4720,4792,4900,4756,24000
5246,5124,5187,5276,5167,26000
5642,5520,5619,5671,5548,28000
6062,5901,6035,6059,5943,30000
6436,6306,6437,6490,6331,32000
6832,6731,6834,6900,6703,34000
7244,7150,7201,7321,7084,36000
7646,7573,7592,7702,7487,38000
8068,7975,7992,8084,7881,40000
8477,8369,8405,8466,8283,42000
8894,8778,8796,8841,8691,44000
9303,9162,9225,9192,9118,46000
9715,9548,9633,9606,9498,48000
10140,9933,10039,10023,9865,50000
