3971,4104,3963,3967,3995,20000
7909,8134,7904,7933,8120,40000
11956,12215,11841,11924,12064,60000
15974,16185,15838,15962,16041,80000
20071,20017,19867,19925,20120,100000
24147,24001,23873,23890,24089,120000
28200,27997,27894,27873,28036,140000
32277,31956,31846,31857,32064,160000
36232,35954,35815,35826,36173,180000
40246,39922,39740,39871,40221,200000
44209,43912,43824,43864,44191,220000
48225,47877,47790,47920,48188,240000
52189,51825,51797,51971,52218,260000
56221,55817,55816,56036,56110,280000
60203,59846,59876,59959,60116,300000
64110,63785,63945,64034,64126,320000
68062,67744,67954,68133,68107,340000
72029,71677,71873,72263,72158,360000
76019,75694,75879,76224,76184,380000
79906,79687,79897,80285,80225,400000
84029,83661,83903,84214,84193,420000
88088,87654,87870,88250,88138,440000
92113,91653,91894,92146,92194,460000
96097,95722,95906,96040,96235,480000
100074,99754,99981,99980,100211,500000
