shard1,shard2,shard3,shard4,shard5,total
18566,12,1422,0,0,20000
10898,27,2895,16012,10168,40000
16399,33,4389,24017,15162,60000
21962,13045,5879,19014,20100,80000
27395,16295,7256,23916,25138,100000
18870,19565,22801,28630,30134,120000
22053,22790,26591,33464,35102,140000
25124,26010,30487,38234,40145,160000
28224,29276,34306,43027,45167,180000
31345,32547,38098,47838,50172,200000
34452,35822,41816,52637,55273,220000
37547,39089,45576,57523,60265,240000
40700,42449,49379,62116,65356,260000
43853,45730,53114,66861,70442,280000
46953,48882,56887,71705,75573,300000
50053,52090,60751,76535,80571,320000
53176,55353,64618,81312,85541,340000
56417,58495,68396,86047,90645,360000
59516,61838,72166,90935,95545,380000
80161,65164,75885,78202,100588,400000
84135,68400,79757,82031,105677,420000
105287,71633,83544,85904,93632,440000
110087,74902,87305,89798,97908,460000
114876,78190,91144,93638,102152,480000
119624,81454,94919,97576,106427,500000
