shard1,shard2,shard3,shard4,shard5,total
15805,10,4185,0,0,20000
18460,14,8331,13195,0,40000
16295,18,12416,19687,11584,60000
21688,27,16664,26211,15410,80000
26966,13246,20986,19494,19308,100000
32325,15877,25150,23369,23279,120000
37671,18537,29244,27298,27250,140000
43155,21224,33355,31103,31163,160000
48641,23894,37564,34992,34909,180000
53898,26610,41688,38993,38811,200000
59349,29352,45876,42729,42694,220000
64662,31912,50165,46638,46623,240000
70202,34514,54308,50554,50422,260000
75662,37109,58506,54419,54304,280000
81027,39826,62676,58410,58061,300000
86455,42482,66889,62276,61898,320000
74325,45115,71114,83676,65770,340000
78642,47760,75276,88740,69582,360000
83072,50382,79450,93570,73526,380000
87439,53037,83749,98446,77329,400000
91855,55786,87886,103369,81104,420000
96185,58455,92117,108321,84922,440000
100577,61086,96326,113151,88860,460000
104948,63771,100457,118108,92716,480000
109325,66460,104628,122989,96598,500000
18566,12,1422,0,0,20000
10898,27,2895,16012,10168,40000
16399,33,4389,24017,15162,60000
21962,13045,5879,19014,20100,80000
27395,16295,7256,23916,25138,100000
18870,19565,22801,28630,30134,120000
22053,22790,26591,33464,35102,140000
25124,26010,30487,38234,40145,160000
28224,29276,34306,43027,45167,180000
31345,32547,38098,47838,50172,200000
34452,35822,41816,52637,55273,220000
37547,39089,45576,57523,60265,240000
40700,42449,49379,62116,65356,260000
43853,45730,53114,66861,70442,280000
46953,48882,56887,71705,75573,300000
50053,52090,60751,76535,80571,320000
53176,55353,64618,81312,85541,340000
56417,58495,68396,86047,90645,360000
59516,61838,72166,90935,95545,380000
80161,65164,75885,78202,100588,400000
84135,68400,79757,82031,105677,420000
105287,71633,83544,85904,93632,440000
110087,74902,87305,89798,97908,460000
114876,78190,91144,93638,102152,480000
119624,81454,94919,97576,106427,500000
13399,3,6598,0,0,20000
16230,6,13173,10591,0,40000
14447,8,19754,15828,9963,60000
19273,8,26330,21058,13331,80000
24112,9,20276,26349,29254,100000
28916,11,24406,31550,35117,120000
33659,13,28547,36817,40964,140000
38419,14,32620,42085,46862,160000
43305,16,36662,47335,52682,180000
48072,17,40747,52480,58684,200000
52826,20,44870,57794,64490,220000
57547,20,49004,63014,70415,240000
62285,20,53084,68183,76428,260000
67131,20,57157,73347,82345,280000
72019,17733,61216,78522,70510,300000
76768,18961,65355,83788,75128,320000
81544,20148,69503,89039,79766,340000
86408,21306,73667,94293,84326,360000
91166,22519,77711,99616,88988,380000
95996,23703,81754,104866,93681,400000
100835,24851,85837,110173,98304,420000
105744,26041,89865,115424,102926,440000
110686,27227,93910,120582,107595,460000
98300,45616,98035,125825,112224,480000
102349,47534,102099,131100,116918,500000
16820,12,3168,0,0,20000
18355,17,6288,15340,0,40000
14289,25,9475,23066,13145,60000
19070,37,12636,30629,17628,80000
23847,15244,15761,23147,22001,100000
28689,9847,27250,27747,26467,120000
33369,11516,31852,32394,30869,140000
38148,13175,36348,36969,35360,160000
42903,14805,40921,41658,39713,180000
47606,16445,45403,46369,44177,200000
52310,18051,49897,51017,48725,220000
56917,19729,54538,55624,53192,240000
61700,21372,59102,60217,57609,260000
66489,23036,63612,64883,61980,280000
71324,24667,68110,69472,66427,300000
76035,26323,72680,74047,70915,320000
80759,27930,77300,78680,75331,340000
85413,29623,81910,83333,79721,360000
90135,31251,86609,87881,84124,380000
94959,32861,91219,92488,88473,400000
99572,34557,95837,96995,93039,420000
104230,36174,100503,101638,97455,440000
108982,37765,105132,106292,101829,460000
113717,39383,109667,110954,106279,480000
118504,41006,114260,115533,110697,500000
18088,25,1887,0,0,20000
19207,49,3730,17014,0,40000
17400,8530,5581,17087,11402,60000
23235,11398,7505,22743,15119,80000
28957,14318,9425,28417,18883,100000
34657,17117,11344,34074,22808,120000
20861,19923,32918,39791,26507,140000
23897,22754,37702,45387,30260,160000
26881,25612,42438,51081,33988,180000
29871,28477,47154,56786,37712,200000
32821,31196,51957,62508,41518,220000
35745,34049,56697,68158,45351,240000
38793,36945,61281,73931,49050,260000
59133,39775,66024,62356,52712,280000
63253,42724,70704,66783,56536,300000
67479,45608,75355,71273,60285,320000
71644,48409,80164,75748,64035,340000
75709,51256,84893,80319,67823,360000
79972,54053,89499,84854,71622,380000
84264,56871,94223,89218,75424,400000
88565,59690,98897,93616,79232,420000
92822,62477,103614,98060,83027,440000
97013,65295,108454,102555,86683,460000
101207,68224,113148,106893,90528,480000
105462,71146,117790,111363,94239,500000
11659,4,8337,0,0,20000
13328,5,16644,10023,0,40000
19832,5,25039,15124,0,60000
26415,6,33411,20168,0,80000
32933,15694,26093,25280,0,100000
39624,18827,31303,30246,0,120000
36903,21987,36648,35321,9141,140000
42203,25075,41883,40410,10429,160000
47400,28232,47142,45527,11699,180000
52673,31383,52422,50522,13000,200000
57878,34503,57666,55605,14348,220000
63106,37679,62927,60698,15590,240000
68238,40825,68252,65766,16919,260000
73503,44061,73488,70662,18286,280000
78734,47197,78719,75722,19628,300000
84026,50239,66752,80831,38152,320000
89319,53481,70802,85837,40561,340000
94589,56636,75000,90874,42901,360000
81861,77870,79050,95871,45348,380000
86127,81897,83351,100813,47812,400000
90475,86034,87458,105828,50205,420000
94659,90200,91602,110920,52619,440000
99011,94253,112932,98906,54898,460000
103340,98437,117767,103192,57264,480000
107671,102502,122618,107518,59691,500000
12098,8,7894,0,0,20000
24247,15,15738,0,0,40000
21487,25,23766,14722,0,60000
28574,10369,21491,19566,0,80000
20119,15870,24062,30455,9494,100000
24240,18993,28849,36512,11406,120000
28305,22160,33734,42553,13248,140000
32375,25341,38534,48610,15140,160000
36543,28515,43293,54619,17030,180000
40539,31724,48036,60762,18939,200000
44706,34886,52783,66778,20847,220000
66531,38122,57468,55131,22748,240000
72096,41310,62317,59755,24522,260000
77644,44396,67069,64419,26472,280000
83151,47474,71951,69061,28363,300000
88748,50702,76640,73672,30238,320000
69117,53838,81392,78256,57397,340000
73140,57043,86134,82957,60726,360000
77183,60264,90900,87600,64053,380000
81282,63461,95671,92180,67406,400000
85301,66601,100484,96819,70795,420000
89206,69833,105324,101490,74147,440000
93246,73058,110158,105952,77586,460000
97269,76283,114977,110621,80850,480000
101312,79542,119732,115217,84197,500000
5113,33,14854,0,0,20000
10056,87,17248,12609,0,40000
15087,126,14544,18884,11359,60000
20046,173,19375,25183,15223,80000
25222,214,24107,31488,18969,100000
30177,251,28939,22641,37992,120000
35079,290,33741,26420,44470,140000
40181,326,38547,30245,50701,160000
45288,360,43347,34079,56926,180000
50487,393,48083,37866,63171,200000
55504,447,52852,41739,69458,220000
60447,481,57690,45422,75960,240000
65602,522,62558,49130,82188,260000
70640,551,67309,52909,88591,280000
75573,18362,72036,56662,77367,300000
80666,19636,76765,60477,82456,320000
85713,20835,81498,64196,87758,340000
90617,22046,86327,68031,92979,360000
95733,23242,91126,71833,98066,380000
100735,24497,95828,75678,103262,400000
105790,25742,100589,79488,108391,420000
110771,27018,105341,83342,113528,440000
115953,28214,110035,87139,118659,460000
120850,29479,114972,90845,123854,480000
125935,30724,119801,94550,128990,500000
19668,21,311,0,0,20000
22975,38,647,16340,0,40000
20110,50,973,24565,14302,60000
27041,60,1287,32549,19063,80000
20103,13742,20444,21932,23779,100000
24232,16458,24526,26233,28551,120000
28253,19240,28543,30593,33371,140000
32312,21956,32581,35050,38101,160000
36229,24715,36678,39499,42879,180000
40229,27532,40667,43874,47698,200000
44246,30295,44781,48217,52461,220000
48335,33148,48811,52549,57157,240000
52327,35994,52974,56814,61891,260000
56362,38752,56999,61250,66637,280000
60338,41531,61036,65680,71415,300000
64417,44288,65114,70077,76104,320000
73963,47031,63656,74534,80816,340000
78338,49844,67421,78760,85637,360000
82808,52633,71097,83189,90273,380000
87092,55362,74945,87529,95072,400000
91398,58206,78669,91870,99857,420000
95704,60906,82473,96308,104609,440000
92521,71179,86186,100629,109485,460000
96595,74296,90008,104904,114197,480000
100598,77372,93843,109199,118988,500000
16149,19,3832,0,0,20000
20044,37,7689,12230,0,40000
17855,55,11448,18362,12280,60000
23844,73,15190,24387,16506,80000
29758,95,18989,30567,20591,100000
35721,111,22816,36713,24639,120000
41524,131,26709,42801,28835,140000
47372,146,30469,49019,32994,160000
53247,165,34309,55145,37134,180000
59172,189,38055,61241,41343,200000
65080,212,41791,67400,45517,220000
71085,224,45480,73467,49744,240000
76988,18386,49342,61342,53942,260000
82902,19794,53188,66064,58052,280000
88819,21245,56995,70741,62200,300000
77153,22669,78497,75391,66290,320000
81939,24130,83324,80176,70431,340000
86792,25546,88265,84855,74542,360000
91650,26968,93177,89566,78639,380000
96481,28454,98091,94304,82670,400000
101348,29825,103046,99003,86778,420000
106298,31292,107878,103670,90862,440000
111245,32745,112773,108258,94979,460000
116001,34195,117798,112945,99061,480000
120903,35667,122594,117705,103131,500000
