shard1,shard2,shard3,shard4,shard5,total
3911,4022,4085,3956,4026,20000
7937,8088,8057,7959,7959,40000
11990,12123,12054,11907,11926,60000
15986,16085,16033,15995,15901,80000
20019,20119,20006,20012,19844,100000
23994,24099,24055,23963,23889,120000
27989,28166,28010,27886,27949,140000
32010,32130,31964,31835,32061,160000
36024,36104,35935,35882,36055,180000
40007,40070,39978,39907,40038,200000
43923,44101,43899,43981,44096,220000
47913,48151,47854,47924,48158,240000
51942,52257,51834,51889,52078,260000
55964,56362,55803,55829,56042,280000
59992,60279,59868,59815,60046,300000
63922,64300,63910,63795,64073,320000
67901,68289,67944,67762,68104,340000
71847,72250,71976,71810,72117,360000
75862,76262,75935,75856,76085,380000
79788,80293,79985,79902,80032,400000
83804,84333,84005,83857,84001,420000
87792,88335,87993,87833,88047,440000
91737,92315,92055,91784,92109,460000
95752,96275,96077,95720,96176,480000
99762,100325,100055,99732,100126,500000
