shard1,shard2,shard3,shard4,shard5,total
4085,3993,3982,3943,3997,20000
8071,7961,8010,7933,8025,40000
12092,11908,11947,11889,12164,60000
16116,15973,15819,15975,16117,80000
20108,20012,19744,19981,20155,100000
24168,24068,23730,23963,24071,120000
28186,28024,27812,27901,28077,140000
32163,32127,31815,31901,31994,160000
36201,36142,35787,35801,36069,180000
40190,40125,39843,39799,40043,200000
44167,44163,43889,43743,44038,220000
48159,48063,47879,47870,48029,240000
52181,52046,51987,51793,51993,260000
56127,56085,55971,55753,56064,280000
60193,60137,59967,59661,60042,300000
64221,64153,63910,63661,64055,320000
68214,68264,67847,67562,68113,340000
72147,72368,71913,71417,72155,360000
76037,76384,75904,75453,76222,380000
80021,80355,79955,79479,80190,400000
84053,84333,83987,83468,84159,420000
87977,88341,88003,87543,88136,440000
92080,92281,92101,91449,92089,460000
96158,96202,96208,95476,95956,480000
100210,100104,100270,99423,99993,500000
3970,3957,3934,4134,4005,20000
7979,7933,8018,7995,8075,40000
12000,11891,12002,12022,12085,60000
15999,15799,15993,16092,16117,80000
19968,19877,20008,20013,20134,100000
24017,23810,24072,24035,24066,120000
28113,27737,27992,28042,28116,140000
32055,31792,31936,32022,32195,160000
35999,35911,35940,35964,36186,180000
39889,39965,40000,39951,40195,200000
43965,44059,43872,43942,44162,220000
47961,48022,47859,48034,48124,240000
51904,52054,51932,52046,52064,260000
55854,56078,55858,56038,56172,280000
59820,60113,59859,60026,60182,300000
63791,64051,63867,64192,64099,320000
67683,68115,67831,68248,68123,340000
71707,72019,71812,72294,72168,360000
75701,76031,75853,76242,76173,380000
79715,80052,79889,80249,80095,400000
83766,83884,83915,84373,84062,420000
87698,87908,87984,88335,88075,440000
91684,91946,92108,92223,92039,460000
95652,96077,96045,96236,95990,480000
99771,99899,99996,100330,100004,500000
3911,4022,4085,3956,4026,20000
7937,8088,8057,7959,7959,40000
11990,12123,12054,11907,11926,60000
15986,16085,16033,15995,15901,80000
20019,20119,20006,20012,19844,100000
23994,24099,24055,23963,23889,120000
27989,28166,28010,27886,27949,140000
32010,32130,31964,31835,32061,160000
36024,36104,35935,35882,36055,180000
40007,40070,39978,39907,40038,200000
43923,44101,43899,43981,44096,220000
47913,48151,47854,47924,48158,240000
51942,52257,51834,51889,52078,260000
55964,56362,55803,55829,56042,280000
59992,60279,59868,59815,60046,300000
63922,64300,63910,63795,64073,320000
67901,68289,67944,67762,68104,340000
71847,72250,71976,71810,72117,360000
75862,76262,75935,75856,76085,380000
79788,80293,79985,79902,80032,400000
83804,84333,84005,83857,84001,420000
87792,88335,87993,87833,88047,440000
91737,92315,92055,91784,92109,460000
95752,96275,96077,95720,96176,480000
99762,100325,100055,99732,100126,500000
4001,4034,3952,4044,3969,20000
8133,8019,7866,8058,7924,40000
12139,12103,11745,12116,11897,60000
16155,16041,15728,16153,15923,80000
20111,20136,19777,20059,19917,100000
24020,24154,23715,24075,24036,120000
28055,28139,27732,27970,28104,140000
32181,32130,31651,31910,32128,160000
36261,36068,35661,35859,36151,180000
40248,40088,39676,39804,40184,200000
44266,44147,43703,43775,44109,220000
48300,48044,47840,47765,48051,240000
52243,52060,51791,51842,52064,260000
56194,56022,55716,55892,56176,280000
60100,60036,59678,59985,60201,300000
64060,64043,63736,63926,64235,320000
68027,68113,67742,67895,68223,340000
72041,72111,71687,71916,72245,360000
76007,76155,75704,75832,76302,380000
80090,80146,79609,79866,80289,400000
84099,84115,83567,83877,84342,420000
88014,88151,87553,87905,88377,440000
92017,92178,91556,91943,92306,460000
96040,96091,95644,96054,96171,480000
100061,100117,99639,100048,100135,500000
4018,4002,4036,4105,3839,20000
8055,7963,8062,8023,7897,40000
12055,11954,12039,12085,11867,60000
16058,15916,16091,16228,15707,80000
20044,19931,20082,20275,19668,100000
24020,23949,24048,24308,23675,120000
28025,27991,27947,28278,27759,140000
32004,31998,31937,32260,31801,160000
36024,35836,35965,36238,35937,180000
40144,39775,39913,40179,39989,200000
44077,43717,43929,44253,44024,220000
48087,47692,47927,48272,48022,240000
52000,51692,51958,52272,52078,260000
56017,55694,56009,56172,56108,280000
60122,59667,59953,60120,60138,300000
64148,63659,64054,64141,63998,320000
68076,67724,68108,68104,67988,340000
72021,71762,72103,72063,72051,360000
75992,75782,76082,76053,76091,380000
79983,79806,80041,80036,80134,400000
84003,83808,83990,84081,84118,420000
88056,87834,87990,88027,88093,440000
92017,91841,92136,91983,92023,460000
95975,95862,96133,95926,96104,480000
100055,99725,100211,99849,100160,500000
4054,3957,4023,4005,3961,20000
8001,7936,8066,8076,7921,40000
12032,11916,12092,12121,11839,60000
15952,15930,16106,16153,15859,80000
19886,19937,20169,20196,19812,100000
23877,23887,24149,24222,23865,120000
27977,27871,28120,28176,27856,140000
32035,31748,32147,32132,31938,160000
36046,35723,36201,36058,35972,180000
39957,39636,40250,40083,40074,200000
44025,43695,44127,44093,44060,220000
48080,47680,48008,48098,48134,240000
52091,51625,52080,52080,52124,260000
56053,55522,56072,56227,56126,280000
60085,59484,60101,60210,60120,300000
64044,63407,64160,64199,64190,320000
67995,67548,68130,68142,68185,340000
71953,71600,72093,72245,72109,360000
76034,75637,76092,76194,76043,380000
80020,79614,80096,80242,80028,400000
84090,83683,84028,84162,84037,420000
88039,87779,87957,88195,88030,440000
92010,91754,91954,92231,92051,460000
95923,95740,96029,96244,96064,480000
99869,99742,100122,100259,100008,500000
3994,4047,3986,4047,3926,20000
7928,8100,8058,8024,7890,40000
11929,12114,12072,12065,11820,60000
15914,16142,16128,16023,15793,80000
19980,20096,20042,20028,19854,100000
24044,24118,24006,23982,23850,120000
28103,28077,27972,27964,27884,140000
32081,32021,31945,32090,31863,160000
36009,36124,35978,36044,35845,180000
40022,40221,40014,39962,39781,200000
43991,44242,44013,43963,43791,220000
48044,48267,48004,47955,47730,240000
52076,52162,52034,52004,51724,260000
56085,56104,56070,56017,55724,280000
60134,60190,60072,60023,59581,300000
64087,64163,64150,64034,63566,320000
68162,68151,68168,67982,67537,340000
72042,72149,72161,72123,71525,360000
75955,76203,76242,76118,75482,380000
79925,80236,80246,80115,79478,400000
83884,84229,84242,84206,83439,420000
87826,88301,88318,88174,87381,440000
91751,92353,92261,92183,91452,460000
95754,96318,96305,96189,95434,480000
99667,100334,100372,100226,99401,500000
3958,4036,4023,3986,3997,20000
8076,8025,7997,7953,7949,40000
12006,12076,11992,11984,11942,60000
15970,16063,15969,15969,16029,80000
19947,20074,20046,19959,19974,100000
23948,24048,23996,24008,24000,120000
27953,28051,27881,28056,28059,140000
31875,32140,31929,31971,32085,160000
35838,36152,35966,35959,36085,180000
39868,40197,39958,39879,40098,200000
43842,44167,44019,43838,44134,220000
47830,48059,48081,47825,48205,240000
51881,52045,52007,51891,52176,260000
55841,55963,56022,55952,56222,280000
59751,60023,60042,59900,60284,300000
63718,64068,64076,63864,64274,320000
67613,68222,68153,67842,68170,340000
71560,72188,72141,71963,72148,360000
75633,76201,76076,75970,76120,380000
79603,80308,80054,79871,80164,400000
83555,84358,84059,83825,84203,420000
87706,88379,88023,87810,88082,440000
91725,92382,91915,91884,92094,460000
95833,96357,95875,95850,96085,480000
99764,100356,99908,99878,100094,500000
4002,3913,3986,4027,4072,20000
7989,7919,7967,8053,8072,40000
12089,11891,11921,11970,12129,60000
16063,15929,15964,16034,16010,80000
20060,19877,19974,20061,20028,100000
24058,23948,24044,23969,23981,120000
28035,27972,27955,28071,27967,140000
31954,32090,31983,31984,31989,160000
35890,36153,35977,36051,35929,180000
40011,40155,39873,39976,39985,200000
43962,44320,43805,43909,44004,220000
47970,48334,47839,47845,48012,240000
51886,52324,51951,51840,51999,260000
55859,56368,55986,55882,55905,280000
59896,60408,60041,59804,59851,300000
63902,64420,63974,63776,63928,320000
67917,68383,67964,67766,67970,340000
72003,72383,71894,71778,71942,360000
76013,76349,75779,75888,75971,380000
79896,80391,79793,79992,79928,400000
83898,84349,83837,84014,83902,420000
87874,88372,87926,87946,87882,440000
91836,92336,91990,91925,91913,460000
95792,96258,95944,96015,95991,480000
99765,100246,99950,100039,100000,500000
4019,3954,4138,3953,3936,20000
8025,8000,8097,7969,7909,40000
12045,12041,12082,11948,11884,60000
16057,16183,15987,15976,15797,80000
20017,20182,19956,19960,19885,100000
23963,24175,23855,24067,23940,120000
27961,28217,27889,27974,27959,140000
32050,32232,31908,31934,31876,160000
35938,36217,35993,35896,35956,180000
40005,40241,39949,39913,39892,200000
43990,44191,43954,43923,43942,220000
47998,48195,47920,47938,47949,240000
51885,52296,51999,51868,51952,260000
55793,56333,55963,55906,56005,280000
59704,60403,60049,59936,59908,300000
63744,64476,64079,63867,63834,320000
67761,68471,68098,67808,67862,340000
71669,72525,72159,71840,71807,360000
75614,76460,76166,75907,75853,380000
79730,80427,80094,79833,79916,400000
83714,84414,84082,83830,83960,420000
87742,88386,88117,87864,87891,440000
91806,92419,92070,91792,91913,460000
95860,96433,96006,95765,95936,480000
99929,100485,99987,99743,99856,500000
