shard1,shard2,shard3,shard4,shard5,total
15805,10,4185,0,0,20000
18460,14,8331,13195,0,40000
16295,18,12416,19687,11584,60000
21688,27,16664,26211,15410,80000
26966,13246,20986,19494,19308,100000
32325,15877,25150,23369,23279,120000
37671,18537,29244,27298,27250,140000
43155,21224,33355,31103,31163,160000
48641,23894,37564,34992,34909,180000
53898,26610,41688,38993,38811,200000
59349,29352,45876,42729,42694,220000
64662,31912,50165,46638,46623,240000
70202,34514,54308,50554,50422,260000
75662,37109,58506,54419,54304,280000
81027,39826,62676,58410,58061,300000
86455,42482,66889,62276,61898,320000
74325,45115,71114,83676,65770,340000
78642,47760,75276,88740,69582,360000
83072,50382,79450,93570,73526,380000
87439,53037,83749,98446,77329,400000
91855,55786,87886,103369,81104,420000
96185,58455,92117,108321,84922,440000
100577,61086,96326,113151,88860,460000
104948,63771,100457,118108,92716,480000
109325,66460,104628,122989,96598,500000
